"state","id","category","title","body","amenities","bathrooms","bedrooms","currency","fee","has_photo","pets_allowed","price","price_display","price_type","square_feet","address","cityname","latitude","longitude","source","time","Average_Income","Percent_Change"
"AK",5668614636,"housing/rent/apartment","Studio apartment 1553 'a' Street","This unit is located at 1553 'a' Street, Anchorage, 99501, AKMonthly rental rates range from $1170 - $1680We have studio - 2 beds units available for rent Apartment features include:-- Dishwasher- Business facility- Fitness facilities","Dishwasher",1,2,"USD","No","Thumbnail","None",1170,"$1,170","Monthly",425,"1553 'A St","Anchorage",61.1723,-149.8414,"RentLingo",1577358619,"$68,919","4.72%"
"AK",5668620457,"housing/rent/apartment","Studio apartment 3321 Eureka St","This unit is located at 3321 Eureka St, Anchorage, 99503, AKMonthly rental rates range from $705 - $880We have studio - 1 beds units available for rent Apartment features include:-- Fitness facilities- Dishwasher- On-Site Laundry","Dishwasher",1,1,"USD","No","Thumbnail","Cats,Dogs",705,"$705","Monthly",245,"3321 Eureka St","Anchorage",61.1723,-149.8414,"RentLingo",1577359000,"$68,919","4.72%"
"AK",5668614558,"housing/rent/apartment","One BR 218 Mcmarrey St","This unit is located at 218 Mcmarrey St, Anchorage, 99508, AKMonthly rental rates range from $860 - $1120We have one - three beds units available for rent Apartment features include:-- On-Site Laundry- Dishwasher","Dishwasher",1,1,"USD","No","Thumbnail","Cats,Dogs",860,"$860","Monthly",630,"218 McMarrey St","Anchorage",61.1723,-149.8414,"RentLingo",1577358614,"$68,919","4.72%"
"AK",5668614552,"housing/rent/apartment","Two BR 2001 W 80th #09","This unit is located at 2001 W 80th #09, Anchorage, 99502, AKMonthly rental rates range from $975We have 2 beds units available for rent Apartment features include:-- Balcony, Deck, Patio- Dishwasher- On-Site Laundry","Dishwasher,Patio/Deck",1,2,"USD","No","Thumbnail","Cats,Dogs",975,"$975","Monthly",680,"2001 W 80th #09","Anchorage",61.1723,-149.8414,"RentLingo",1577358614,"$68,919","4.72%"
"AK",5668614566,"housing/rent/apartment","One BR 4543 Lake Otis Pkwy","This unit is located at 4543 Lake Otis Pkwy, Anchorage, 99507, AKMonthly rental rates range from $960We have 1 beds units available for rent Apartment features include:-- On-Site Laundry- Balcony, Deck, Patio- Dishwasher","Dishwasher,Patio/Deck",1,1,"USD","No","Thumbnail","Cats,Dogs",960,"$960","Monthly",728,"4543 Lake Otis Parkway","Anchorage",61.1723,-149.8414,"RentLingo",1577358615,"$68,919","4.72%"
"AK",5668614641,"housing/rent/apartment","Two BR 4221 Laurel Street","This unit is located at 4221 Laurel Street, Anchorage, 99508, AKMonthly rental rates range from $1100We have 2 beds units available for rent Apartment features include:-- Balcony, Deck, Patio- On-Site Laundry","Patio/Deck",1,2,"USD","No","Thumbnail","Cats,Dogs",1100,"$1,100","Monthly",900,"4221 Laurel St","Anchorage",61.1723,-149.8414,"RentLingo",1577358620,"$68,919","4.72%"
"AK",5668620497,"housing/rent/apartment","Two BR 7847 Jewel Lake Road","This unit is located at 7847 Jewel Lake Road, Anchorage, 99502, AKMonthly rental rates range from $1020We have 2 beds units available for rent Apartment features include:-- Dishwasher- On-Site Laundry","Dishwasher",1,2,"USD","No","Thumbnail","Cats,Dogs",1020,"$1,020","Monthly",850,"7847 Jewel Lake Rd","Anchorage",61.1723,-149.8414,"RentLingo",1577359002,"$68,919","4.72%"
"AK",5668620461,"housing/rent/apartment","Three BR 1711 Lore Road","This unit is located at 1711 Lore Road, Anchorage, 99507, AKMonthly rental rates range from $1360We have 3 beds units available for rent Apartment features include:-- Balcony, Deck, Patio- Dishwasher- Fireplace","Dishwasher,Fireplace,Patio/Deck",2,3,"USD","No","Thumbnail","Cats,Dogs",1360,"$1,360","Monthly",950,"1711 Lore Rd","Anchorage",61.1521,-149.8508,"RentLingo",1577359000,"$68,919","4.72%"
"AK",5668614574,"housing/rent/apartment","One BR 2131 E 56th","This unit is located at 2131 E 56th, Anchorage, 99507, AKMonthly rental rates range from $1315 - $1700We have one - two beds units available for rent Apartment features include:-- Dishwasher- Fireplace- Fitness facilities- Balcony, Deck, Patio- Business facility","Dishwasher,Fireplace,Patio/Deck",1,1,"USD","No","Thumbnail","Cats,Dogs",1315,"$1,315","Monthly",780,"2131 E 56th","Anchorage",61.1723,-149.8414,"RentLingo",1577358615,"$68,919","4.72%"
"AK",5668614536,"housing/rent/apartment","Studio apartment 915 W 27th Avenue","This unit is located at 915 W 27th Avenue, Anchorage, 99503, AKMonthly rental rates range from $730 - $1015We have studio - 2 beds units available for rent Apartment features include:-- Dishwasher- On-Site Laundry","Dishwasher",1,2,"USD","No","Thumbnail","Cats",730,"$730","Monthly",315,"915 W 27th Ave","Anchorage",61.1723,-149.8414,"RentLingo",1577358613,"$68,919","4.72%"
"AK",5668614530,"housing/rent/apartment","Studio apartment 810 E 42nd Ave","This unit is located at 810 E 42nd Ave, Anchorage, 99503, AKMonthly rental rates range from $695 - $1040We have studio - 2 beds units available for rent Apartment features include:-- Balcony, Deck, Patio- On-Site Laundry","Patio/Deck",1,2,"USD","No","Thumbnail","Cats,Dogs",695,"$695","Monthly",350,"810 E 42nd Avenue","Anchorage",61.1723,-149.8414,"RentLingo",1577358612,"$68,919","4.72%"
"AK",5668614600,"housing/rent/apartment","Two BR 6029 Debarr Rd","This unit is located at 6029 Debarr Rd, Anchorage, 99504, AKMonthly rental rates range from $1465We have 2 beds units available for rent Apartment features include:-- Dishwasher- Fireplace- Business facility- Balcony, Deck, Patio","Dishwasher,Fireplace,Patio/Deck",2,2,"USD","No","Thumbnail","Cats,Dogs",1465,"$1,465","Monthly",1100,"6029 Debarr Road","Anchorage",61.1723,-149.8414,"RentLingo",1577358617,"$68,919","4.72%"
"AK",5668614586,"housing/rent/apartment","One BR 631 E 22nd Ave","This unit is located at 631 E 22nd Ave, Anchorage, 99503, AKMonthly rental rates range from $845 - $1140We have one - two beds units available for rent Apartment features include:-- Fireplace- On-Site Laundry- Dishwasher- Balcony, Deck, Patio","Dishwasher,Fireplace,Patio/Deck",1,1,"USD","No","Thumbnail","Cats,Dogs",845,"$845","Monthly",720,"631 E 22nd Avenue","Anchorage",61.1723,-149.8414,"RentLingo",1577358616,"$68,919","4.72%"
"AK",5642327386,"housing/rent/apartment","Two BR 812 W 29th Pl Apartment 9","This unit is located at 812 W 29th Pl Apartment 9, Anchorage, 99503, AKMonthly rental rates range from $1399We have 2 beds units available for rent","Parking,Refrigerator",1,2,"USD","No","Thumbnail","None",1399,"$1,399","Monthly",600,"812 W 29th Place Apartment 9","Anchorage",61.1723,-149.8414,"RentLingo",1575638900,"$68,919","4.72%"
"AK",5668620478,"housing/rent/apartment","Studio apartment 3531 E 42nd Ave","This unit is located at 3531 E 42nd Ave, Anchorage, 99508, AKMonthly rental rates range from $815We have studio units available for rent Apartment features include:-- On-Site Laundry- Dishwasher","Dishwasher",1,0,"USD","No","Thumbnail","Cats,Dogs",815,"$815","Monthly",460,"3531 E 42nd Avenue","Anchorage",61.1723,-149.8414,"RentLingo",1577359001,"$68,919","4.72%"
"AK",5668614589,"housing/rent/apartment","One BR 1204 Norman St #32","This unit is located at 1204 Norman St #32, Anchorage, 99504, AKMonthly rental rates range from $1035 - $1060We have one - two beds units available for rent Apartment features include:-- On-Site Laundry- Dishwasher","Dishwasher",1,1,"USD","No","Thumbnail","Cats,Dogs",1035,"$1,035","Monthly",680,"1204 Norman St #32","Anchorage",61.1723,-149.8414,"RentLingo",1577358617,"$68,919","4.72%"
